EGG3,04/01/2553,2.77,2.8,29.89
EGG3,05/01/2553,2.93,2.7,27.99
EGG3,06/01/2553,3.11,2.5,28.89
EGG3,07/01/2553,3.14,2.2,28.59
EGG3,08/01/2553,3.05,2.2,27.79
PLATOO,01/01/2549,17.50,5.4,24.69
PLATOO,02/01/2549,17.50,4.9,24.69
PLATOO,03/01/2549,17.50,5.4,25.49
PLATOO,04/01/2549,17.50,5.6,25.69
PLATOO,05/01/2549,17.50,5.2,26.74
PLATOO,06/01/2549,17.50,4.4,27.54
PLATOO,07/01/2549,17.50,3.6,27.54
PLATOO,08/01/2549,17.50,3.1,27.54
PLATOO,09/01/2549,17.50,2.1,24.54
PLATOO,10/01/2549,17.50,2.6,24.24
PLATOO,11/01/2549,17.50,3.1,23.84
PLATOO,12/01/2549,17.50,3.3,23.34
PLATOO,01/01/2550,17.50,2.6,22.54
PLATOO,02/01/2550,17.50,1.3,22.94
PLATOO,03/01/2550,17.74,1.7,24.14
PLATOO,04/01/2550,22.50,2.0,25.34
PLATOO,05/01/2550,22.50,2.2,25.34
PLATOO,06/01/2550,22.50,1.9,25.34
PLATOO,07/01/2550,22.50,1.5,25.74
PLATOO,08/01/2550,22.50,0.3,25.34
PLATOO,09/01/2550,22.50,1.5,27.34
PLATOO,10/01/2550,22.50,2.9,28.14
PLATOO,11/01/2550,22.50,4.4,29.34
PLATOO,12/01/2550,22.50,5.2,29.34
PLATOO,01/01/2551,22.50,6.5,29.14
PLATOO,02/01/2551,22.50,7.0,29.94
PLATOO,03/01/2551,22.50,6.8,30.94
PLATOO,04/01/2551,22.50,8.2,33.44
PLATOO,05/01/2551,22.50,10.2,39.04
PLATOO,06/01/2551,22.50,11.4,42.64
PLATOO,07/01/2551,22.50,10.4,37.94
PLATOO,08/01/2551,22.50,2.9,33.04
PLATOO,01/01/2552,22.50,-4.1,18.34
PLATOO,02/01/2552,22.50,-2.7,19.59
PLATOO,03/01/2552,22.50,-2.9,22.69
PLATOO,04/01/2552,22.50,-2.2,22.79
PLATOO,05/01/2552,22.50,-2.5,25.39
PLATOO,06/01/2552,22.50,-1.4,27.39
PLATOO,07/01/2552,22.50,-0.8,28.09
PLATOO,08/01/2552,22.50,0.8,27.69
PLATOO,09/01/2552,22.50,1.6,25.79
PLATOO,10/01/2552,22.50,3.1,28.19
PLATOO,12/01/2552,22.50,4.3,27.19
PLATOO,01/01/2553,22.50,4.7,27.59
PLATOO,02/01/2553,22.50,4.8,28.69
PLATOO,03/01/2553,22.50,3.5,28.79
PLATOO,04/01/2553,22.50,2.8,29.89
PLATOO,05/01/2553,22.50,2.7,27.99
PLATOO,06/01/2553,22.50,2.5,28.89
PLATOO,07/01/2553,22.50,2.2,28.59
PLATOO,08/01/2553,22.50,2.2,27.79
KANA,01/01/2543,11.78,2.0,11.52
KANA,02/01/2543,17.39,2.3,11.82
KANA,03/01/2543,15.89,2.1,12.17
KANA,04/01/2543,18.44,1.3,11.12
KANA,05/01/2543,27.15,1.3,12.02
KANA,06/01/2543,18.41,1.6,12.99
KANA,07/01/2543,13.34,1.6,13.29
KANA,08/01/2543,15.18,1.9,13.89
KANA,09/01/2543,17.05,2.2,14.44
